id,palavra,resposta
974,AUTOM ,null
984,DIA ,null
1969,null,1262
1970,null,154
985,AUTOMATIC ,null
1971,null,110
986,CERT ,null
1973,null,162
987,REJEIT ,null
1975,null,218
1976,null,1306
988,REALIZ ,null
1977,null,158
1978,null,180
989,NOVO ,null
1979,null,218
1980,null,162
990,ENTEND ,null
1981,null,180
1002,VTRSABER ,null
2005,null,218
2006,null,248
1005,OU ,null
2011,null,603
1006,ENVIAD ,null
2013,null,218
1015,MAS ,null
2032,null,180
1017,DOI ,null
2035,null,158
2036,null,1306
1018,CONSULT ,null
1019,ALT ,null
1020,JA ,null
1021,VTRCANCELA ,null
1022,FACIL ,null
1658,VAL ,null
3317,null,158
3318,null,180
1662,TENH ,null
1726,DATA ,null
3453,null,182
1790,PRODUT ,null
3581,null,180
1918,ENCONTR ,null
3837,null,407
1947,TEM ,null
3895,null,180
3896,null,154
1949,NOTE ,null
3899,null,154
1950,FIZ ,null
1972,VEIO ,null
3945,null,158
3946,null,162
1974,DESBLOQUEI ,null
3949,null,162
1982,VER ,null
3965,null,180
2012,MAS ,null
4025,null,55
2014,DESGRACAD ,null
4029,null,248
2031,AGOR ,null
4063,null,162
4064,null,1306
2037,CONT ,null
4075,null,180
4076,null,1056
2038,CONST ,null
2039,FORM ,null
4079,null,358
4080,null,129
2040,VTRMEUPEDIDO ,null
4081,null,218
2041,PRODUT ,null
4083,null,388
2042,AIND ,null
2043,IA ,null
4087,null,69
4088,null,5
2044,ESTORN ,null
2045,VTRENVIAR ,null
2046,ADWORD ,null
4093,null,218
3325,VENC ,null
6651,null,154
3326,DADA ,null
6653,null,162
3454,VTRCOMOFACO ,null
6909,null,218
6910,null,358
3582,IDENTIFIC ,null
7165,null,180
3838,DEMOR ,null
7678,null,1262
3900,VTRSABER ,null
7801,null,180
7802,null,358
3901,DEVER ,null
7803,null,162
3902,VTRCOMOFACO ,null
7805,null,169
3950,AGILIZ ,null
7901,null,162
7902,null,180
3966,ACAB ,null
7933,null,162
4026,CERT ,null
8053,null,218
8054,null,1262
4030,VTRALGUEMAE ,null
8061,null,176
4077,LIGACO ,null
8155,null,180
4078,INDISPONIVEL ,null
8157,null,218
4082,VTRCOMOFACO ,null
8165,null,1262
4084,DES ,null
8169,null,218
4085,DOMINI ,null
4086,LIBER ,null
4089,REALIZAD ,null
8179,null,218
8180,null,5
4090,LOJA ,null
4091,PAC ,null
8183,null,390
8184,null,218
4092,VTRCOMOFACO ,null
8185,null,113
4094,PROTEC ,null
6652,SEI ,null
13305,null,180
13306,null,158
6654,SERI ,null
13309,null,116
7166,CONTINU ,null
14333,null,180
7677,VTRPRAZO ,null
15355,null,1262
15356,null,403
7804,VEIO ,null
15609,null,180
15610,null,218
7806,VENC ,null
15613,null,154
7934,VOCE ,null
15869,null,180
8062,AVENID ,null
16125,null,569
8156,RECARG ,null
16313,null,218
16314,null,1306
8158,2ª ,null
16317,null,154
8166,CORREI ,null
16333,null,124
8170,CONSEGU ,null
16341,null,1306
16342,null,162
8171,FOI ,null
16343,null,119
8172,DUA ,null
16345,null,456
16346,null,162
8173,NAO ,null
16347,null,180
16348,null,162
8174,LIB ,null
16349,null,162
8181,VTRSABER ,null
8182,SEM ,null
16365,null,218
8186,ESQUEC ,null
16373,null,218
16374,null,1182
8189,UOL ,null
8190,SALD ,null
13310,VOCE ,null
26621,null,1306
14334,MOTIV ,null
28669,null,180
15614,VTRCARTAOCREDITO ,null
31229,null,358
15870,ATUAL ,null
31741,null,180
16126,CONECT ,null
32253,null,218
16318,VISUALIZ ,null
32637,null,1262
32638,null,180
16334,VEIO ,null
32669,null,1306
16344,VTRSABER ,null
32689,null,180
32690,null,162
16350,DESBLOQUEI ,null
32701,null,162
16363,VTRCOMOFACO ,null
32727,null,398
32728,null,389
16364,DINH ,null
32729,null,398
32730,null,385
16366,FRET ,null
32733,null,218
16379,VTRSABER ,null
32759,null,70
16380,SON ,null
32761,null,175
16381,PAG ,null
16382,VAL ,null
26622,VEM ,null
53245,null,248
28670,ESCLAREC ,null
57341,null,180
31230,DESBLOQUEI ,null
62461,null,162
31742,VTRTROCAR ,null
63485,null,358
32254,CONVER ,null
64509,null,603
32670,AQUI ,null
65341,null,1262
32702,CONFIRM ,null
32734,CANCEL ,null
32760,VEJA ,null
65521,null,90
32762,HTACC ,null
65525,null,218
65526,null,1113
32763,CART ,null
65527,null,218
32764,ESTA ,null
32765,CONTRAT ,null
65531,null,180
32766,POST ,null
53246,EXAT ,null
106493,null,158
106494,null,180
57342,DADO ,null
62462,VCE ,null
124925,null,1306
63486,FIZ ,null
126973,null,162
64510,VTRCARTAOCREDITO ,null
129021,null,218
65342,VTRTROCAR ,null
130685,null,358
65405,VTRMEU ,null
65406,DOMINI ,null
65469,AGOR ,null
130939,null,218
130940,null,5
65470,POR ,null
65522,COMPLICAD ,null
131045,null,91
131046,null,218
65528,DEVED ,null
131057,null,180
131058,null,456
65529,CART ,null
65530,QASNUMERO ,null
131061,null,218
65532,VTRSABER ,null
65533,FOTO ,null
131067,null,386
131068,null,218
65534,COMPON ,null
114685,VTRQUEROTROCAR ,null
229371,null,71
229372,null,410
114686,INDEV ,null
124926,NES ,null
249853,null,154
126974,VERIFIC ,null
253949,null,180
129022,AQUI ,null
258045,null,603
130686,ERR ,null
261373,null,5
130811,VEJO ,null
261623,null,358
261624,null,180
130812,VAL ,null
261625,null,180
261626,null,162
130813,EFETU ,null
261627,null,162
130814,MAS ,null
130941,ASSINAT ,null
261883,null,218
261884,null,398
130942,NAO ,null
131059,NEGAT ,null
262119,null,218
262120,null,1262
131060,RECARG ,null
262121,null,162
262122,null,180
131062,VTRCOMOFACO ,null
262125,null,398
131065,MOTIV ,null
131066,ACAB ,null
262133,null,180
131069,ASPGRID ,null
262139,null,1009
131070,VTRASSINATURAS ,null
229373,CART ,null
229374,CANCEL ,null
249854,FOS ,null
499709,null,358
253950,QUIT ,null
258046,EMIT ,null
516093,null,1306
261374,VTRPRODUTO ,null
522750,null,162
261628,COMPEM ,null
523257,null,162
261629,POR ,null
523259,null,162
261630,BOLET ,null
261885,FIZ ,null
523771,null,1262
261886,HOSPED ,null
523773,null,1266
262126,REALIZ ,null
524253,null,218
262131,DEPOSIT ,null
524263,null,162
524264,null,158
262132,VTRTARIFADO ,null
524265,null,180
262134,DEBITAR ,null
262140,PLAN ,null
524281,null,1009
524282,null,218
262141,PROBLEM ,null
262142,WINDOW ,null
458747,TEM ,null
917495,null,1262
917496,null,5
458748,RESOLV ,null
917497,null,180
458749,CUR ,null
917499,null,65
458750,RECEB ,null
499710,REAL ,null
999421,null,129
507901,TENH ,null
507902,CONFIRM ,null
1015805,null,180
516094,DIF ,null
1032189,null,98
522749,VTRSABER ,null
1045499,null,162
1045500,null,1262
523258,VTRPRAZO ,null
1046517,null,162
523260,DIA ,null
1046521,null,162
523261,FAZ ,null
523262,SOBR ,null
523772,TRABALH ,null
1047545,null,218
523774,DECOL ,null
1047549,null,218
524254,DESATIV ,null
1048509,null,218
524266,PRECIL ,null
1048533,null,180
524269,DUPLIC ,null
1048539,null,5
524270,POR ,null
524283,ESTA ,null
524284,VTRNAOCONSIGO ,null
524285,QUE ,null
524286,DOCUMENT ,null
917498,PAGAMENT ,null
1834997,null,456
1834998,null,158
917500,ASSINAT ,null
1835001,null,218
1835002,null,69
917501,NAO ,null
1835003,null,1306
917502,SEM ,null
1835005,null,180
999422,MAI ,null
1998846,null,180
1015803,PENDENT ,null
2031607,null,180
1015804,TER ,null
2031609,null,1306
1015806,PROBLEM ,null
2031613,null,180
1032190,REINICI ,null
2064381,null,218
1046518,REGISTR ,null
2093037,null,162
1046522,DIZEND ,null
2093045,null,162
1046523,CORREI ,null
2093047,null,162
1046524,VENC ,null
2093049,null,154
1046525,E_MAIL ,null
2093051,null,1306
2093052,null,180
1046526,ENVI ,null
2093053,null,162
1047546,VTRCOMOFACO ,null
2095093,null,5
1047550,TEM ,null
2095101,null,218
1048510,AO ,null
2097021,null,452
1048534,VTRMEU ,null
1048540,CONHEC ,null
2097081,null,158
2097082,null,180
1048541,GAST ,null
2097083,null,158
2097084,null,180
1048542,COBR ,null
1048567,WEBMAIL ,null
2097135,null,420
1048568,CONFIGUR ,null
1048569,RECEB ,null
1048570,RECEB ,null
1048571,CORREC ,null
2097143,null,174
2097144,null,1009
1048572,VTRUOLCLOUD ,null
1048573,ENVI ,null
2097148,null,218
1048574,PAST ,null
1835004,MENSAL ,null
1835006,VTRCANCELA ,null
3670013,null,69
1998845,AO ,null
3997691,null,158
3997692,null,180
2031608,LO ,null
4063217,null,169
4063218,null,154
2031610,VEIO ,null
4063221,null,158
2031614,VEND ,null
2064382,NES ,null
4128765,null,74
2093038,HOSPED ,null
4186077,null,162
2093046,REALIZ ,null
2093048,AGOR ,null
4186097,null,69
2093050,ATRA ,null
2093054,EFETU ,null
2095094,REALIZ ,null
4190189,null,162
2095102,PENDENT ,null
4190205,null,218
2097022,SOLUC ,null
4194045,null,248
2097069,VTRCOMOFACO ,null
4194139,null,1262
2097070,PRODUT ,null
4194141,null,180
2097085,QUE ,null
4194172,null,158
2097086,DIF ,null
2097136,VTRMEU ,null
4194273,null,564
2097137,IPHON ,null
4194275,null,430
4194276,null,420
2097138,VTRUM ,null
2097139,DOMINI ,null
2097140,ENTR ,null
4194281,null,564
2097141,SEM ,null
4194283,null,564
2097142,SERVIC ,null
2097145,MEDI ,null
4194291,null,1136
2097146,QASNUMERO ,null
2097147,DIA ,null
4194295,null,218
4194296,null,1262
2097149,ARQUIV ,null
2097150,FILTR ,null
4194301,null,218
3670009,JA ,null
7340019,null,162
7340020,null,154
3670010,VAL ,null
7340021,null,158
3670014,PAGAMENT ,null
4063222,BOLET ,null
4063229,CREDIT ,null
8126459,null,218
8126460,null,162
4063230,MES ,null
4128766,MERD ,null
8257533,null,248
4186078,DEMOR ,null
8372157,null,162
4186093,EXPIR ,null
8372187,null,162
8372188,null,5
4186094,TIR ,null
8372189,null,124
4186098,MES ,null
8372197,null,154
4186101,SIM ,null
8372203,null,180
8372204,null,154
4186102,DEMOR ,null
8372205,null,162
4186109,VTRUM ,null
4186110,VTRSABER ,null
4190190,DIZ ,null
8380381,null,218
4190206,SEGU ,null
8380413,null,218
4194046,PROBLEM ,null
8388093,null,248
8388094,null,1262
4194140,FINALIZ ,null
8388281,null,158
4194142,PLAN ,null
8388285,null,180
4194171,SER ,null
8388343,null,158
4194173,ESTA ,null
8388347,null,158
8388348,null,180
4194174,REDUZ ,null
8388349,null,456
4194274,PROFIL ,null
8388549,null,1530
4194277,SEMAN ,null
8388555,null,564
4194278,SEM ,null
8388557,null,420
4194279,MAS ,null
8388559,null,162
4194280,VERIFIC ,null
8388561,null,1262
8388562,null,564
4194282,ACE ,null
4194284,VTRNAOESTOU ,null
4194285,VTRMEU ,null
4194286,ENTR ,null
4194292,MICROSOFT ,null
8388585,null,1146
8388586,null,1158
4194293,MODUL ,null
8388587,null,218
4194294,DISC ,null
8388589,null,1134
8388590,null,218
4194299,PERMISSO ,null
8388600,null,218
4194300,VIRT ,null
8388601,null,443
4194302,OFFIC ,null
7340022,UTILIZ ,null
14680045,null,1262
14680046,null,180
7340029,ATRAV ,null
14680059,null,209
14680060,null,162
7340030,ESTOU ,null
8126445,MAS ,null
16252891,null,169
8126446,AO ,null
16252893,null,162
8126461,DOI ,null
16252923,null,218
16252924,null,180
8126462,VTRCONTA ,null
8257534,FALO ,null
16515069,null,176
8372158,TEM ,null
16744317,null,1306
8372190,VTRNAOCONSIGO ,null
16744381,null,1306
16744382,null,180
8372198,PERMANEC ,null
16744397,null,162
8372206,SERVIC ,null
8372219,AGOR ,null
16744439,null,154
8372220,BLOQU ,null
16744441,null,162
8372221,QUE ,null
16744443,null,180
8372222,FALT ,null
8380382,SEI ,null
16760765,null,1262
16760766,null,248
8380414,LINK ,null
16760829,null,391
8388282,VENH ,null
16776565,null,158
16776566,null,180
8388286,SEI ,null
16776573,null,158
8388344,DUVID ,null
16776689,null,158
16776690,null,180
8388350,NEST ,null
16776701,null,180
8388550,SEND ,null
16777101,null,564
8388556,VTRSABER ,null
16777113,null,564
16777114,null,420
8388558,AMANHEC ,null
16777117,null,420
8388560,HOSPED ,null
16777121,null,1095
16777122,null,564
8388565,ADICION ,null
16777131,null,247
8388566,ENVI ,null
8388569,ENDEREC ,null
8388570,VTRMEU ,null
8388571,TRABALH ,null
16777143,null,162
8388572,CORT ,null
16777145,null,162
8388573,NAO ,null
16777147,null,564
8388574,VTRAVARIADO ,null
8388588,VERSO ,null
16777177,null,1176
16777178,null,420
8388599,HOSPED ,null
16777199,null,585
16777200,null,1076
8388602,WEBMAIL ,null
8388605,OUTLOK ,null
16777212,null,218
8388606,DINH ,null
14680061,DUVID ,null
29360123,null,158
29360124,null,5
14680062,DUPLICAD ,null
29360125,null,180
16252892,RECEB ,null
32505785,null,154
16252894,VOU ,null
32505789,null,154
16252925,BOLET ,null
16252926,BANC ,null
16515070,RENOV ,null
33030141,null,218
16744318,VENC ,null
33488637,null,110
16744398,CREDIT ,null
33488797,null,180
16744413,UOL ,null
33488827,null,218
33488828,null,109
16744414,VAL ,null
16744440,VTRCOMPREI ,null
33488881,null,1262
16744442,AGOR ,null
33488885,null,162
16744444,ABERT ,null
33488889,null,180
16744445,BLOQUEAD ,null
16744446,VER ,null
33488893,null,180
16760830,INTERNET ,null
33521661,null,385
16776574,TAO ,null
33553149,null,180
16776702,TRAT ,null
33553405,null,158
16777102,AO ,null
33554205,null,420
16777118,TEM ,null
33554237,null,420
16777132,VTRUM ,null
33554265,null,564
16777133,QUE ,null
16777134,UTILIZ ,null
33554269,null,420
16777139,TROQU ,null
33554279,null,71
33554280,null,1306
16777140,GMAIL ,null
33554281,null,437
16777141,DIFICULDAD ,null
33554283,null,430
16777142,QUE ,null
16777144,REATIV ,null
33554289,null,458
33554290,null,1306
16777146,FORA ,null
33554293,null,564
16777148,DIA ,null
33554297,null,564
16777149,AGOR ,null
33554299,null,420
16777150,ERRO ,null
16777205,CRI ,null
33554411,null,443
33554412,null,218
16777206,PES ,null
33554413,null,1040
16777211,MICROSOFT ,null
33554423,null,461
33554424,null,420
16777213,TRANSFER ,null
33554427,null,1262
16777214,QUE ,null
29360126,PAREC ,null
58720253,null,180
32505786,VTRNAOCONSIGO ,null
65011573,null,1306
32505790,CONTINU ,null
65011581,null,162
32505851,PRECIL ,null
65011703,null,180
65011704,null,162
32505852,VAI ,null
32505853,MUDO ,null
65011707,null,358
65011708,null,180
32505854,PARCEL ,null
33030142,VOCE ,null
66060286,null,1262
33488638,COMP ,null
66977277,null,162
33488798,FORM ,null
66977597,null,385
66977598,null,1306
33488829,ERR ,null
66977659,null,158
33488830,TENT ,null
33488882,UOL ,null
66977765,null,154
33488886,FOI ,null
66977773,null,162
33488890,FICOU ,null
66977781,null,180
33488891,ESTA ,null
66977783,null,154
33488892,PAGO ,null
66977785,null,1306
66977786,null,162
33488894,DEMOR ,null
33521662,RECEBER ,null
67043325,null,218
33553150,VTRUM ,null
33553406,SOBR ,null
33554206,VERIFIC ,null
67108413,null,420
33554238,SMTP ,null
67108477,null,420
33554266,WEBMAIL ,null
33554267,AGOR ,null
67108535,null,420
67108536,null,1262
33554268,WEBMAIL ,null
67108537,null,430
33554270,ACES ,null
67108541,null,564
33554282,NOVA ,null
67108565,null,420
33554284,DIZEND ,null
33554285,DIZEND ,null
67108571,null,180
33554286,BOLET ,null
33554294,ONT ,null
67108589,null,564
33554298,CRI ,null
67108597,null,247
33554300,MAI ,null
67108601,null,420
33554301,DAND ,null
67108603,null,420
33554302,INSTABIL ,null
33554414,VTRCOMOFACO ,null
67108829,null,443
33554428,VTRSABER ,null
67108857,null,1262
33554429,CERT ,null
67108859,null,218
33554430,VTRCANCELA ,null
58720254,PRECIL ,null
65011574,ESTOU ,null
130023149,null,1306
130023150,null,169
65011582,ESTA ,null
130023166,null,169
65011705,AUTOM ,null
130023411,null,69
130023412,null,1262
65011706,TEM ,null
130023413,null,180
65011709,VTRCOMOFACO ,null
130023419,null,154
65011710,FORA ,null
130023421,null,162
66060285,VTRSABER ,null
132120571,null,1262
132120572,null,603
66977278,VEJO ,null
133954557,null,180
66977660,ANUAL ,null
133955321,null,180
133955322,null,1306
66977661,SENH ,null
133955323,null,218
66977662,ATRAV ,null
133955325,null,218
66977766,AO ,null
133955533,null,180
133955534,null,1306
66977774,AO ,null
133955549,null,162
66977782,VTRCOMOFACO ,null
133955565,null,180
66977784,SERA ,null
133955569,null,1306
133955570,null,162
66977789,RECEB ,null
133955579,null,403
133955580,null,162
66977790,PENDENC ,null
67043326,DUA ,null
134086653,null,5
67106301,ASSINAT ,null
134212603,null,456
134212604,null,158
67106302,ESTA ,null
67106813,CUR ,null
134213627,null,60
134213628,null,180
67106814,ALTO ,null
134213629,null,456
67108414,CAIX ,null
134216829,null,420
134216830,null,564
67108478,QASEMAIL ,null
134216957,null,420
67108533,ATRAV ,null
134217067,null,430
134217068,null,218
67108534,VTRMEU ,null
134217070,null,564
67108538,DAND ,null
134217077,null,420
67108542,FAZ ,null
134217085,null,420
67108566,AJUD ,null
134217133,null,420
134217134,null,564
67108569,VALIDAD ,null
134217139,null,358
134217140,null,180
67108570,ATUALIZ ,null
134217141,null,218
67108572,SEI ,null
134217145,null,158
67108573,PENDENC ,null
134217147,null,154
134217148,null,1306
67108574,VTRUM ,null
67108590,RETORN ,null
134217181,null,564
67108598,PRECIL ,null
134217197,null,564
67108602,PROFIL ,null
134217205,null,1530
134217206,null,564
67108604,ACES ,null
134217209,null,420
134217210,null,564
67108605,PROFIL ,null
134217211,null,1530
134217212,null,564
67108606,SPAM ,null
134217213,null,564
67108830,OUTR ,null
134217661,null,97
67108858,DISPONIVEL ,null
134217717,null,1262
67108860,SSH ,null
134217721,null,218
67108861,FOI ,null
67108862,BANCAR ,null
117440509,2ª ,null
234881019,null,154
234881020,null,1306
117440510,VAL ,null
130023165,DISPONIVEL ,null
260046331,null,169
260046332,null,162
130023414,BLOQUEAD ,null
260046829,null,162
130023420,SERA ,null
260046841,null,1262
260046842,null,456
130023422,BOLET ,null
260046845,null,1306
133954558,REALIZ ,null
267909117,null,1306
133955324,CADASTR ,null
267910649,null,1262
267910650,null,1306
133955326,LOT ,null
267910653,null,162
133955550,DIA ,null
267911101,null,162
133955566,ESTA ,null
133955581,SERVIC ,null
267911163,null,162
133955582,SUSPEND ,null
134086654,COMPROV ,null
268173309,null,162
134212605,QASNUMERO ,null
268425211,null,456
268425212,null,180
134212606,DUVID ,null
268425213,null,158
134213630,DEST ,null
268427261,null,158
134216958,COLOC ,null
268433917,null,420
134217069,PORQU ,null
268434139,null,564
134217078,MAC ,null
268434157,null,420
268434158,null,564
134217086,VTRTELEFONE ,null
268434173,null,430
134217142,VTRCOMOPOSSO ,null
268434285,null,420
134217146,ABERT ,null
268434293,null,180
134217149,ABERT ,null
268434299,null,162
134217150,GMAIL ,null
268434301,null,420
134217182,EST ,null
268434365,null,564
134217198,DIZ ,null
268434397,null,180
134217214,ESTA ,null
134217662,DAND ,null
268435325,null,148
134217718,PEG ,null
268435437,null,1262
134217722,ESTOU ,null
134217723,FIZ ,null
268435447,null,248
134217724,DOMINI ,null
134217725,CERT ,null
268435451,null,218
134217726,VTRBLTVENCER ,null
234881021,ENTA ,null
469762043,null,158
234881022,APAREC ,null
469762045,null,180
260046830,REABILIT ,null
520093661,null,456
260046846,ESTOU ,null
267909118,RENOV ,null
535818237,null,110
267910654,NOTIFIC ,null
535821309,null,180
267911102,AGENC ,null
535822205,null,162
267911133,VOCE ,null
535822267,null,162
535822268,null,180
267911134,PLAN ,null
535822269,null,113
267911164,ELIMIN ,null
535822329,null,1306
535822330,null,180
267911165,ASSINAT ,null
535822331,null,69
535822332,null,162
267911166,PENDENT ,null
268173310,CHEC ,null
536346621,null,218
268425214,PENDENT ,null
536850429,null,180
268427262,HA ,null
268433918,VTRCONTA ,null
536867837,null,218
268434140,ESQUEC ,null
536868281,null,71
268434174,USAR ,null
536868349,null,564
268434286,FINALIZ ,null
536868573,null,1262
268434294,RESPOST ,null
536868589,null,248
268434300,NAO ,null
536868601,null,1262
268434302,VTRCOMOFACO ,null
536868605,null,420
268434366,RETOM ,null
536868733,null,564
536868734,null,420
268434398,TEM ,null
536868797,null,351
268434429,AO ,null
536868859,null,564
268434430,ADICION ,null
268435326,RAIZ ,null
536870653,null,218
268435438,TRANSFERENC ,null
536870877,null,1262
268435445,RECEB ,null
268435446,VERIFIQU ,null
536870893,null,218
268435448,CREDIT ,null
536870897,null,358
268435449,LO ,null
268435450,AUTOMATIC ,null
268435452,CPF ,null
536870905,null,126
268435453,VENC ,null
536870907,null,154
268435454,RASTR ,null
536870909,null,1262
469762044,APAREC ,null
939524089,null,129
469762046,DUA ,null
939524093,null,158
520093662,MAS ,null
1040187325,null,180
520093693,AUTOM ,null
1040187387,null,358
1040187388,null,180
520093694,REALIZ ,null
1040187389,null,162
535818238,CONGEL ,null
1071636477,null,120
535821310,AGOR ,null
535822206,VENC ,null
1071644413,null,154
535822270,OU ,null
1071644541,null,162
535822333,MES ,null
1071644667,null,248
1071644668,null,180
535822334,VTRTROCAR ,null
536346622,CODIG ,null
1072693245,null,218
536850430,PARCEL ,null
1073700861,null,456
536854525,ASSINAT ,null
1073709051,null,456
1073709052,null,180
536854526,TRANSFER ,null
536867838,SITE ,null
1073735677,null,420
536868282,BOL ,null
1073736565,null,1263
536868350,ADICION ,null
1073736701,null,247
536868574,VTRBLTVENCER ,null
1073737149,null,1306
536868590,ORIG ,null
1073737181,null,420
536868602,SOBR ,null
1073737205,null,162
536868606,PLAN ,null
1073737213,null,162
536868798,CAI ,null
1073737598,null,415
536868860,GENT ,null
1073737721,null,564
536868861,CONSEGU ,null
1073737723,null,564
1073737724,null,247
536868862,SEM ,null
536870654,NOVA ,null
1073741309,null,443
536870878,PRECIL ,null
1073741757,null,1262
536870891,EMAIL ,null
1073741783,null,420
536870892,ENTEND ,null
1073741785,null,180
536870894,VENDED ,null
1073741789,null,218
536870898,SEGU ,null
1073741797,null,218
536870899,REATIV ,null
1073741799,null,110
536870900,ENTR ,null
536870901,ENCONTR ,null
1073741803,null,218
1073741804,null,358
536870902,SOLICITACO ,null
1073741805,null,248
536870906,AO ,null
1073741813,null,218
536870908,CONFIGUR ,null
536870910,PENDENC ,null
939524090,ERR ,null
1879048181,null,158
939524094,PAGSEGUR ,null
1879048189,null,1262
1040187326,VERIF ,null
2080374653,null,180
2080374654,null,358
1040187390,ATRA ,null
2080374781,null,154
1071636478,QUEST ,null
2143272957,null,154
1071642621,DOS ,null
2143285243,null,1306
2143285244,null,162
1071642622,VTRNAOCONSIGO ,null
2143285245,null,1306
1071644414,VTRNAOCONSIGO ,null
2143288829,null,162
1071644542,FOI ,null
2143289085,null,180
1071644669,ESQUEC ,null
2143289339,null,180
1071644670,INFORM ,null
1072693246,DINH ,null
2145386494,null,1262
1073700862,VTRCOMOFACO ,null
2147401725,null,1262
1073709053,DIA ,null
2147418107,null,180
1073709054,ENTEND ,null
1073735678,ESSE ,null
2147471357,null,420
1073736566,REDEFIN ,null
2147473133,null,420
1073736702,SINCRONIZ ,null
2147473405,null,420
1073737150,SER ,null
2147474301,null,154
1073737182,RECLAMAC ,null
2147474365,null,1262
2147474366,null,1061
1073737206,CONTEST ,null
2147474413,null,218
2147474414,null,564
1073737214,COBR ,null
2147474429,null,180
1073737597,VOU ,null
2147475195,null,420
2147475196,null,564
1073737722,NAO ,null
1073737725,AGOR ,null
1073737726,CONFIGUR ,null
1073741310,CRI ,null
2147482621,null,1032
1073741758,VTRCONTA ,null
2147483517,null,1262
1073741784,RESTR ,null
2147483569,null,162
1073741786,SEI ,null
2147483573,null,180
1073741790,AUTORIZ ,null
2147483581,null,218
1073741798,VTRCONTA ,null
1073741800,INTERNAC ,null
2147483601,null,488
2147483602,null,120
1073741801,QUAL ,null
2147483603,null,120
2147483604,null,470
1073741802,FOR ,null
2147483605,null,120
1073741806,ABSURD ,null
2147483613,null,248
1073741814,VTRUM ,null
2147483630,null,1262
1073741817,POP ,null
2147483635,null,420
1073741818,SSH ,null
1073741821,QUIT ,null
1073741822,VIDE ,null
1879048182,AIND ,null
3758096365,null,162
1879048190,VTRCOMOFACO ,null
3758096381,null,180
2080374782,QASNUMERO ,null
4160749565,null,158
2143272958,VAL ,null
4286545917,null,158
2143285246,NAO ,null
4286570493,null,1306
2143288830,VTRBLTVENCER ,null
4286577661,null,1306
2143289086,CREDIT ,null
4286578173,null,218
2143289340,ATRAV ,null
4286578681,null,71
2143289341,DAS ,null
4286578683,null,358
2143289342,INDEV ,null
4286578685,null,180
